brand;name;product_type;shade;price;old_price;url;image_url;r;g;b;hex
Max Philip;Elegant Matte;Тональный крем для лица;;1900;;https://goldapple.ru/19000264843-elegant;https://pcdn.goldapple.ru/p/p/19000264842/web/746f6e658ddc57893d1ecfa.jpg;229;201;179;#e5c9b3
3INA;THE EVERY SINGLE DAY FOUNDATION;Легкая тональная основа для лица SPF 50;;2835;3150;https://goldapple.ru/19000460672-the-every-single-day;https://pcdn.goldapple.ru/p/p/19000460672/web/746f6e655f62333834643331346665393634383435383034663732303665353538663236658de1542981d5ada.jpg;239;192;148;#efc094
3INA;THE EVERY SINGLE DAY FOUNDATION;Легкая тональная основа для лица SPF 50;;2835;3150;https://goldapple.ru/19000460672-the-every-single-day;https://pcdn.goldapple.ru/p/p/19000460666/web/746f6e655f66393861643833313838346634376439623538656636363065646431656132308de1542691404d8.jpg;249;222;193;#f9dec1
3INA;THE EVERY SINGLE DAY FOUNDATION;Легкая тональная основа для лица SPF 50;;2835;3150;https://goldapple.ru/19000460672-the-every-single-day;https://pcdn.goldapple.ru/p/p/19000460667/web/746f6e655f38333764386165663634663634653265626338303234363135303139313266628de15427e5f6ba5.jpg;243;204;165;#f3cca5
Bourjois;Healthy Mix Clean;Тональный крем;;997;1445;https://goldapple.ru/19000270135-healthy-mix-clean;https://pcdn.goldapple.ru/p/p/19000270135/web/746f6e655f35646664653938393931326434346634393933376635623662363638666330628ddca3b038ad369.jpg;222;185;156;#deb99c
Bourjois;Healthy Mix Clean;Тональный крем;;997;1445;https://goldapple.ru/19000270135-healthy-mix-clean;https://pcdn.goldapple.ru/p/p/19000176078/web/746f6e658ddc55c03771ebb.jpg;232;189;154;#e8bd9a
Bourjois;Healthy Mix Clean;Тональный крем;;997;1445;https://goldapple.ru/19000270135-healthy-mix-clean;https://pcdn.goldapple.ru/p/p/19000176079/web/746f6e658ddc55c037c9b14.jpg;221;173;137;#ddad89
MKATL COSMETICS;long wear liquid;тональный крем для лица;;3564;3960;https://goldapple.ru/99000112032-long-wear-liquid;https://pcdn.goldapple.ru/p/p/99000112032/web/746f6e655f34333932653436373339386334663330623135313039373534396462616338388ddfaaa893a5d7f.jpg;241;207;172;#f1cfac
MKATL COSMETICS;long wear liquid;тональный крем для лица;;3564;3960;https://goldapple.ru/99000112032-long-wear-liquid;https://pcdn.goldapple.ru/p/p/19000296259/web/746f6e658ddc5879ddff4ce.jpg;240;223;205;#f0dfcd
MKATL COSMETICS;long wear liquid;тональный крем для лица;;3564;3960;https://goldapple.ru/99000112032-long-wear-liquid;https://pcdn.goldapple.ru/p/p/19000296260/web/746f6e658ddc5879de3caad.jpg;237;214;198;#edd6c6
FOR ME by gold apple;CC CREAM;СС-крем для лица SPF 30 PA++;;1215;1350;https://goldapple.ru/19000257707-cc-cream;;;;;
PO2;Сover Cushion;кушон для устранения несовершенств SPF50+;;7000;8750;https://goldapple.ru/19000191945-sover-cushion;;;;;
SHIKstudio;Bronze;Крем-тон для тела;;1206;1723;https://goldapple.ru/19000406535-bronze;;;;;
